protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNTEMP,South,2023.0,2023-12-27 00:00:00.000000 UTC,DBORE_ELARANADO_SIMEONI_LATE_F23,-31.75417197,-62.87121098,DK7210RR2,PDIP,,89.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-27 00:00:00.000000 UTC,DBORE_ELARANADO_SIMEONI_LATE_F23,-31.75417197,-62.87121098,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7272VT3P,PDIP,,58.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-09 00:00:00.000000 UTC,GGBLAN_CARNERILLO_MANI_EARLY_F23,-32.9631504,-63.95945837,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-11-03 00:00:00.000000 UTC,GGBLAN_BUSILLI_ELENA_EARLY_FFUNG23,-32.5573957,-64.3837186,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-02 00:00:00.000000 UTC,GGBLAN_VICUNA_HARAS_EARLY_F23,-34.197343668877,-64.250271741639,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-28 00:00:00.000000 UTC,GGBLAN_ALCIRA_MOSCONI_LATE_F23,-32.67074486,-64.16159845,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
